,dew,temp,press,wnd_dir,wnd_spd,snow,rain,year,month,day,hour,pollution
72,-12.3,-3.6,1017.0,220.0,1.0,0,7.0,2015,1,4,0,250.19428571428568
73,-12.0,-1.0,1016.6,180.0,3.0,0,0.0,2015,1,4,1,247.15142857142854
74,-14.0,0.0,1016.6,200.0,2.0,0,0.0,2015,1,4,2,245.76176470588237
75,-12.4,4.0,1018.3,290.0,1.0,0,1.0,2015,1,4,3,243.60588235294117
76,-14.0,6.0,1016.6,330.0,2.0,0,0.0,2015,1,4,4,230.68000000000004
77,-14.0,8.0,1016.6,180.0,1.0,0,0.0,2015,1,4,5,207.18285714285716
78,-13.3,8.4,1015.7,90.0,3.0,0,1.0,2015,1,4,6,181.62
79,-14.0,8.0,1016.6,110.0,3.0,0,0.0,2015,1,4,7,176.44705882352943
80,-13.0,7.0,1016.6,120.0,3.0,0,0.0,2015,1,4,8,180.96857142857144
81,-12.7,5.3,1016.3,90.0,2.0,0,1.0,2015,1,4,9,185.0228571428571
82,-12.0,4.0,1016.6,180.0,1.0,0,0.0,2015,1,4,10,197.0428571428571
83,-11.0,1.0,1016.6,40.0,1.0,0,0.0,2015,1,4,11,191.87941176470588
84,-10.8,1.3,1017.7,90.0,1.0,0,1.0,2015,1,4,12,157.50000000000003
85,-9.0,0.0,1016.6,70.0,1.0,0,0.0,2015,1,4,13,140.1970588235294
86,-9.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,14,123.16969696969696
87,-6.6,2.0,1017.7,40.0,1.0,0,0.0,2015,1,4,15,121.86875
88,-9.0,1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,16,136.0151515151515
89,-9.0,2.0,1016.6,180.0,1.0,0,0.0,2015,1,4,17,154.0411764705882
90,-7.5,1.0,1016.7,360.0,1.0,0,1.0,2015,1,4,18,186.86857142857139
91,-9.0,1.0,1016.6,180.0,0.0,0,0.0,2015,1,4,19,238.4
92,-8.0,-1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,20,258.38857142857137
93,-5.8,1.8,1015.9,20.0,1.0,0,0.0,2015,1,4,21,270.3714285714285
94,-7.0,-1.0,1016.6,180.0,1.0,0,0.0,2015,1,4,22,276.33714285714285
95,-7.0,0.0,1016.6,10.0,3.0,0,0.0,2015,1,4,23,257.16285714285715
96,-5.1,2.5,1016.1,90.0,2.0,0,7.0,2015,1,5,0,237.4085714285714
97,-9.0,3.0,1016.6,330.0,2.0,0,0.0,2015,1,5,1,221.72285714285712
98,-9.0,5.0,1016.6,330.0,3.0,0,0.0,2015,1,5,2,202.5342857142857
99,-6.2,7.6,1017.2,70.0,1.0,0,1.0,2015,1,5,3,193.08285714285716
100,-9.0,9.0,1016.6,20.0,3.0,0,0.0,2015,1,5,4,194.60285714285718
101,-12.0,11.0,1016.6,360.0,5.0,0,0.0,2015,1,5,5,190.7
102,-13.5,9.7,1017.5,340.0,6.0,0,7.0,2015,1,5,6,184.73714285714286
103,-14.0,9.0,1016.6,320.0,9.0,0,10.0,2015,1,5,7,184.30857142857144
104,-16.0,8.0,1016.6,350.0,7.0,0,10.0,2015,1,5,8,182.67142857142852
105,-17.9,6.1,1022.8,360.0,6.0,0,6.0,2015,1,5,9,178.05588235294118
106,-18.0,4.0,1016.6,350.0,8.0,0,10.0,2015,1,5,10,188.60285714285718
107,-21.0,3.0,1016.6,340.0,9.0,0,10.0,2015,1,5,11,181.37575757575755
108,-23.4,2.2,1027.2,340.0,7.0,0,3.0,2015,1,5,12,133.43548387096774
109,-23.0,1.0,1016.6,320.0,9.0,0,10.0,2015,1,5,13,72.09696969696972
110,-23.0,0.0,1016.6,330.0,11.0,0,10.0,2015,1,5,14,36.20312499999999
111,-27.1,-0.1,1028.9,360.0,5.0,0,0.0,2015,1,5,15,24.119999999999994
112,-24.0,-5.0,1016.6,350.0,6.0,0,10.0,2015,1,5,16,16.57142857142857
113,-24.0,-4.0,1016.6,360.0,7.0,0,10.0,2015,1,5,17,13.151428571428573
114,-26.1,-1.1,1030.0,340.0,4.0,0,0.0,2015,1,5,18,9.958823529411765
115,-24.0,-4.0,1016.6,60.0,2.0,0,10.0,2015,1,5,19,11.415151515151512
116,-23.0,-5.0,1016.6,20.0,2.0,0,10.0,2015,1,5,20,9.396969696969698
117,-22.6,-1.3,1029.7,360.0,4.0,0,0.0,2015,1,5,21,6.84
118,-23.0,-6.0,1016.6,180.0,1.0,0,10.0,2015,1,5,22,6.622857142857143
119,-23.0,-6.0,1016.6,180.0,1.0,0,10.0,2015,1,5,23,7.7742857142857185
120,-21.1,-2.8,1029.9,40.0,2.0,0,0.0,2015,1,6,0,9.580000000000002
121,-19.0,0.0,1016.6,350.0,4.0,0,10.0,2015,1,6,1,8.454285714285714
122,-22.0,0.0,1016.6,30.0,3.0,0,10.0,2015,1,6,2,8.442857142857143
123,-21.8,2.2,1028.8,360.0,1.0,0,71.0,2015,1,6,3,7.357142857142858
124,-22.0,4.0,1016.6,310.0,7.0,0,10.0,2015,1,6,4,6.5371428571428565
125,-22.0,5.0,1016.6,310.0,7.0,0,10.0,2015,1,6,5,11.874285714285715
126,-22.4,3.4,1025.9,220.0,4.0,0,6.0,2015,1,6,6,8.805714285714286
127,-21.0,5.0,1016.6,240.0,4.0,0,10.0,2015,1,6,7,10.142857142857142
128,-21.0,5.0,1016.6,220.0,5.0,0,10.0,2015,1,6,8,16.38
129,-22.2,1.7,1026.0,220.0,2.0,0,6.0,2015,1,6,9,19.658823529411762
130,-22.0,3.0,1016.6,210.0,3.0,0,10.0,2015,1,6,10,22.670588235294108
131,-21.0,2.0,1016.6,200.0,3.0,0,10.0,2015,1,6,11,20.241176470588233
132,-19.8,-0.7,1026.8,220.0,2.0,0,1.0,2015,1,6,12,18.538235294117644
133,-20.0,2.0,1016.6,280.0,3.0,0,10.0,2015,1,6,13,20.04545454545455
134,-18.0,-6.0,1016.6,360.0,2.0,0,0.0,2015,1,6,14,23.16666666666667
135,-18.9,-2.4,1027.0,220.0,1.0,0,0.0,2015,1,6,15,27.227272727272727
136,-17.0,-8.0,1016.6,360.0,3.0,0,0.0,2015,1,6,16,32.6
137,-17.0,-5.0,1016.6,360.0,1.0,0,0.0,2015,1,6,17,39.03939393939393
138,-16.9,-4.8,1027.5,180.0,0.0,0,1.0,2015,1,6,18,48.67941176470589
139,-17.0,-7.0,1016.6,360.0,3.0,0,10.0,2015,1,6,19,66.28235294117647
140,-17.0,-7.0,1016.6,320.0,2.0,0,10.0,2015,1,6,20,82.58235294117648
141,-15.7,-6.5,1027.7,180.0,0.0,0,0.0,2015,1,6,21,94.62058823529414
142,-14.0,-8.0,1016.6,180.0,1.0,0,10.0,2015,1,6,22,103.4558823529412
143,-17.0,-7.0,1016.6,350.0,2.0,0,10.0,2015,1,6,23,110.12941176470586
144,-16.6,-4.8,1030.0,40.0,1.0,0,7.0,2015,1,7,0,114.40588235294119
145,-15.0,-3.0,1016.6,360.0,2.0,0,10.0,2015,1,7,1,114.61470588235296
146,-18.0,1.0,1016.6,180.0,1.0,0,10.0,2015,1,7,2,112.42058823529413
147,-19.3,1.9,1031.5,90.0,3.0,0,1.0,2015,1,7,3,107.5735294117647
148,-20.0,3.0,1016.6,170.0,2.0,0,10.0,2015,1,7,4,93.26764705882351
149,-20.0,3.0,1016.6,100.0,2.0,0,10.0,2015,1,7,5,77.26764705882353
150,-19.5,3.2,1030.4,200.0,2.0,0,7.0,2015,1,7,6,62.12058823529413
151,-20.0,3.0,1016.6,180.0,1.0,0,10.0,2015,1,7,7,53.33235294117648
152,-20.0,3.0,1016.6,180.0,1.0,0,10.0,2015,1,7,8,46.53823529411764
153,-17.7,1.8,1030.8,90.0,1.0,0,6.0,2015,1,7,9,53.14117647058821
154,-17.0,-2.0,1016.6,180.0,0.0,0,10.0,2015,1,7,10,56.28235294117647
155,-15.0,-4.0,1016.6,180.0,1.0,0,0.0,2015,1,7,11,62.15312500000001
156,-11.8,-1.1,1032.1,180.0,1.0,0,1.0,2015,1,7,12,57.25757575757576
157,-10.0,-3.0,1016.6,150.0,2.0,0,0.0,2015,1,7,13,53.00312499999999
158,-10.0,-5.0,1016.6,180.0,1.0,0,0.0,2015,1,7,14,50.83333333333334
159,-7.9,-2.6,1032.2,200.0,1.0,0,0.0,2015,1,7,15,52.50606060606058
160,-10.0,-5.0,1016.6,180.0,1.0,0,0.0,2015,1,7,16,55.532352941176484
161,-10.0,-5.0,1016.6,120.0,1.0,0,0.0,2015,1,7,17,59.588571428571434
162,-6.3,-3.7,1032.9,270.0,2.0,0,1.0,2015,1,7,18,67.6314285714286
163,-10.0,-5.0,1016.6,70.0,2.0,0,0.0,2015,1,7,19,78.58571428571429
164,-11.0,-6.0,1016.6,180.0,1.0,0,0.0,2015,1,7,20,92.60285714285713
165,-7.6,-6.1,1031.5,180.0,0.0,0,0.0,2015,1,7,21,94.66857142857141
166,-12.0,-8.0,1016.6,360.0,3.0,0,0.0,2015,1,7,22,100.72571428571426
167,-14.0,-11.0,1016.6,20.0,2.0,0,0.0,2015,1,7,23,103.10857142857141
168,-7.3,-6.1,1032.0,40.0,1.0,0,7.0,2015,1,8,0,96.31428571428572
169,-12.0,-5.0,1016.6,360.0,2.0,0,0.0,2015,1,8,1,100.44285714285715
170,-12.0,-2.0,1016.6,350.0,2.0,0,0.0,2015,1,8,2,103.01428571428572
171,-8.0,-0.3,1030.9,40.0,1.0,0,1.0,2015,1,8,3,102.84857142857142
172,-13.0,1.0,1016.6,310.0,2.0,0,0.0,2015,1,8,4,107.96571428571427
173,-13.0,3.0,1016.6,180.0,1.0,0,0.0,2015,1,8,5,112.86285714285715
174,-9.9,3.4,1027.9,200.0,3.0,0,1.0,2015,1,8,6,120.15999999999998
175,-11.0,5.0,1016.6,200.0,3.0,0,0.0,2015,1,8,7,118.69714285714285
176,-10.0,5.0,1016.6,190.0,2.0,0,0.0,2015,1,8,8,123.8057142857143
177,-11.0,2.2,1027.8,200.0,1.0,0,1.0,2015,1,8,9,127.88823529411766
178,-10.0,0.0,1016.6,180.0,1.0,0,0.0,2015,1,8,10,122.26857142857143
179,-10.0,-3.0,1016.6,70.0,2.0,0,0.0,2015,1,8,11,118.86176470588236
180,-10.5,-1.1,1028.2,180.0,0.0,0,1.0,2015,1,8,12,114.2
181,-12.0,-5.0,1016.6,180.0,1.0,0,0.0,2015,1,8,13,125.79999999999998
182,-12.0,-5.0,1016.6,360.0,2.0,0,0.0,2015,1,8,14,144.98787878787883
183,-10.1,-3.5,1028.6,250.0,1.0,0,0.0,2015,1,8,15,151.13939393939398
184,-12.0,-6.0,1016.6,340.0,3.0,0,0.0,2015,1,8,16,154.56249999999997
185,-11.0,-4.0,1016.6,350.0,3.0,0,0.0,2015,1,8,17,164.58125000000004
186,-9.3,-3.3,1029.2,90.0,2.0,0,1.0,2015,1,8,18,175.09032258064514
187,-12.0,-7.0,1016.6,330.0,3.0,0,0.0,2015,1,8,19,181.35882352941172
188,-11.0,-4.0,1016.6,310.0,4.0,0,0.0,2015,1,8,20,210.33235294117648
189,-16.7,999.9,1028.7,360.0,5.0,0,0.0,2015,1,8,21,228.27352941176468
190,-14.0,-7.0,1016.6,20.0,2.0,0,0.0,2015,1,8,22,241.87941176470585
191,-13.0,-4.0,1016.6,360.0,4.0,0,10.0,2015,1,8,23,236.10882352941172
192,-17.4,-0.7,1030.3,40.0,2.0,0,0.0,2015,1,9,0,234.87941176470596
193,-13.0,-1.0,1016.6,360.0,5.0,0,10.0,2015,1,9,1,229.3
194,-16.0,2.0,1016.6,10.0,3.0,0,10.0,2015,1,9,2,205.05
195,-18.6,4.3,1031.4,20.0,4.0,0,21.0,2015,1,9,3,175.5705882352941
196,-18.0,5.0,1016.6,320.0,9.0,0,10.0,2015,1,9,4,132.61764705882354
197,-18.0,6.0,1016.6,310.0,7.0,0,10.0,2015,1,9,5,79.1676470588235
198,-17.5,6.5,1028.5,360.0,2.0,0,24.0,2015,1,9,6,53.485294117647065
199,-18.0,7.0,1016.6,290.0,6.0,0,10.0,2015,1,9,7,40.364705882352936
200,-17.0,7.0,1016.6,310.0,6.0,0,10.0,2015,1,9,8,33.30571428571429
201,-17.5,5.7,1028.0,40.0,2.0,0,71.0,2015,1,9,9,31.50857142857143
202,-17.0,7.0,1016.6,300.0,3.0,0,10.0,2015,1,9,10,31.311764705882364
203,-16.0,2.0,1016.6,180.0,1.0,0,10.0,2015,1,9,11,24.078787878787878
204,-14.7,1.9,1028.0,200.0,2.0,0,1.0,2015,1,9,12,21.394117647058824
205,-14.0,-4.0,1016.6,180.0,1.0,0,10.0,2015,1,9,13,16.55454545454546
206,-13.0,-5.0,1016.6,180.0,0.0,0,10.0,2015,1,9,14,17.055882352941175
207,-12.9,1.2,1026.9,250.0,2.0,0,0.0,2015,1,9,15,17.364705882352947
208,-14.0,-5.0,1016.6,10.0,2.0,0,0.0,2015,1,9,16,17.851428571428578
209,-14.0,-7.0,1016.6,180.0,1.0,0,0.0,2015,1,9,17,18.328571428571426
210,-12.5,-2.2,1025.6,250.0,1.0,0,1.0,2015,1,9,18,31.17941176470588
211,-14.0,-6.0,1016.6,340.0,1.0,0,0.0,2015,1,9,19,60.457142857142856
212,-14.0,-8.0,1016.6,350.0,2.0,0,0.0,2015,1,9,20,94.83714285714285
213,-12.5,-4.1,1024.1,220.0,1.0,0,0.0,2015,1,9,21,133.99428571428572
214,-14.0,-7.0,1016.6,180.0,1.0,0,0.0,2015,1,9,22,191.96285714285716
215,-14.0,-9.0,1016.6,180.0,1.0,0,0.0,2015,1,9,23,209.7057142857143
216,-12.2,-5.0,1024.0,250.0,1.0,0,4.0,2015,1,10,0,219.52571428571432
217,-12.0,-4.0,1016.6,80.0,1.0,0,0.0,2015,1,10,1,210.7742857142857
218,-12.0,0.0,1016.6,180.0,1.0,0,0.0,2015,1,10,2,207.52
219,-10.6,4.7,1022.5,160.0,1.0,0,1.0,2015,1,10,3,208.05999999999997
220,-13.0,9.0,1016.6,180.0,2.0,0,0.0,2015,1,10,4,204.1342857142857
221,-14.0,12.0,1016.6,260.0,4.0,0,10.0,2015,1,10,5,196.72
222,-14.9,10.7,1019.7,200.0,3.0,0,1.0,2015,1,10,6,191.08571428571426
223,-16.0,12.0,1016.6,290.0,9.0,0,10.0,2015,1,10,7,186.30571428571432
224,-15.0,12.0,1016.6,290.0,8.0,94,10.0,2015,1,10,8,198.68857142857144
225,-15.4,8.2,1020.8,180.0,2.0,0,1.0,2015,1,10,9,203.17714285714283
226,-16.0,11.0,1016.6,230.0,4.0,0,10.0,2015,1,10,10,207.69714285714286
227,-16.0,9.0,1016.6,290.0,3.0,0,10.0,2015,1,10,11,219.68529411764703
228,-12.0,2.2,1022.0,220.0,2.0,0,1.0,2015,1,10,12,195.9542857142857
229,-14.0,999.9,1016.6,360.0,2.0,0,10.0,2015,1,10,13,175.09714285714284
230,-15.0,6.0,1016.6,20.0,5.0,0,10.0,2015,1,10,14,140.4257142857143
231,-12.1,1.7,1024.9,40.0,1.0,0,0.0,2015,1,10,15,98.14571428571428
232,-15.0,5.0,1016.6,40.0,5.0,0,10.0,2015,1,10,16,96.67142857142856
233,-14.0,4.0,1016.6,40.0,6.0,0,10.0,2015,1,10,17,109.2
234,-13.6,3.1,1027.9,40.0,3.0,0,0.0,2015,1,10,18,121.08571428571429
235,-15.0,3.0,1016.6,50.0,5.0,0,10.0,2015,1,10,19,161.95999999999995
236,-17.0,2.0,1016.6,50.0,5.0,0,10.0,2015,1,10,20,191.86285714285717
237,-16.4,0.9,1029.9,40.0,4.0,0,0.0,2015,1,10,21,198.97428571428568
238,-17.0,1.0,1016.6,40.0,4.0,0,10.0,2015,1,10,22,190.74
239,-17.0,1.0,1016.6,30.0,5.0,0,10.0,2015,1,10,23,157.0342857142857
240,-16.4,-1.9,1034.0,220.0,1.0,0,0.0,2015,1,11,0,97.23142857142857
241,-17.0,2.0,1016.6,180.0,1.0,0,10.0,2015,1,11,1,50.96285714285715
242,-17.0,4.0,1016.6,180.0,1.0,0,10.0,2015,1,11,2,28.031428571428574
243,-17.3,3.6,1035.1,250.0,1.0,0,21.0,2015,1,11,3,18.268571428571427
244,-17.0,5.0,1016.6,180.0,2.0,0,10.0,2015,1,11,4,17.485714285714284
245,-16.0,5.0,1016.6,180.0,1.0,0,10.0,2015,1,11,5,11.405714285714286
246,-15.8,6.1,1033.1,140.0,1.0,0,24.0,2015,1,11,6,11.21142857142857
247,-16.0,6.0,1016.6,180.0,2.0,0,10.0,2015,1,11,7,16.648571428571422
248,-15.0,6.0,1016.6,180.0,1.0,0,10.0,2015,1,11,8,21.25142857142857
249,-9.9,3.8,1034.0,200.0,1.0,0,1.0,2015,1,11,9,27.814705882352936
250,-14.0,3.0,1016.6,170.0,1.0,0,10.0,2015,1,11,10,32.44285714285714
251,-14.0,1.0,1016.6,180.0,1.0,0,10.0,2015,1,11,11,25.40294117647059
252,-7.9,1.1,1035.8,200.0,2.0,0,1.0,2015,1,11,12,23.950000000000006
253,-8.0,3.0,1016.6,200.0,3.0,0,0.0,2015,1,11,13,25.814705882352943
254,-11.0,-3.0,1016.6,90.0,1.0,0,0.0,2015,1,11,14,28.397058823529417
255,-9.4,-1.0,1037.2,180.0,3.0,0,0.0,2015,1,11,15,32.10588235294117
256,-9.0,-2.0,1016.6,160.0,2.0,0,0.0,2015,1,11,16,37.03823529411765
257,-9.0,-3.0,1016.6,130.0,2.0,0,0.0,2015,1,11,17,47.273529411764706
258,-9.4,-2.7,1037.7,200.0,1.0,0,1.0,2015,1,11,18,61.46176470588234
259,-10.0,-4.0,1016.6,120.0,2.0,0,0.0,2015,1,11,19,80.70571428571428
260,-9.0,-5.0,1016.6,110.0,2.0,0,0.0,2015,1,11,20,98.21142857142854
261,-9.1,-3.9,1037.8,180.0,1.0,0,0.0,2015,1,11,21,107.92857142857143
262,-10.0,-6.0,1016.6,100.0,1.0,0,0.0,2015,1,11,22,109.01428571428569
263,-9.0,-6.0,1016.6,90.0,2.0,0,0.0,2015,1,11,23,115.6942857142857
264,-8.1,-4.2,1038.8,110.0,1.0,0,0.0,2015,1,12,0,116.51142857142857
265,-8.0,-4.0,1016.6,70.0,2.0,0,0.0,2015,1,12,1,98.89714285714285
266,-7.0,-2.0,1016.6,180.0,1.0,0,0.0,2015,1,12,2,98.12
267,-7.6,-0.1,1039.6,200.0,2.0,0,1.0,2015,1,12,3,100.53714285714287
268,-7.0,1.0,1016.6,140.0,3.0,0,0.0,2015,1,12,4,103.62285714285716
269,-9.0,3.0,1016.6,150.0,2.0,0,0.0,2015,1,12,5,105.28857142857143
270,-12.6,3.8,1036.2,180.0,3.0,0,6.0,2015,1,12,6,106.52571428571429
271,-12.0,4.0,1016.6,180.0,3.0,0,0.0,2015,1,12,7,110.50571428571428
272,-13.0,3.0,1016.6,140.0,2.0,0,0.0,2015,1,12,8,114.73714285714284
273,-13.7,2.5,1035.4,180.0,2.0,0,7.0,2015,1,12,9,118.56285714285713
274,-12.0,-1.0,1016.6,120.0,1.0,0,10.0,2015,1,12,10,131.83714285714288
275,-12.0,-2.0,1016.6,120.0,2.0,0,10.0,2015,1,12,11,139.4264705882353
276,-12.6,-1.3,1035.8,180.0,0.0,0,1.0,2015,1,12,12,143.28484848484845
277,-10.0,-4.0,1016.6,60.0,1.0,0,0.0,2015,1,12,13,124.91470588235292
278,-10.0,-4.0,1016.6,90.0,1.0,0,0.0,2015,1,12,14,112.91212121212122
279,-8.1,-0.4,1035.3,160.0,1.0,0,0.0,2015,1,12,15,103.04545454545456
280,-10.0,-4.0,1016.6,90.0,1.0,0,0.0,2015,1,12,16,90.86571428571428
281,-9.0,-4.0,1016.6,90.0,1.0,0,0.0,2015,1,12,17,93.61142857142859
282,-8.2,-3.1,1034.5,40.0,1.0,0,1.0,2015,1,12,18,104.47428571428571
283,-9.0,-5.0,1016.6,180.0,0.0,0,0.0,2015,1,12,19,128.49428571428567
284,-9.0,-7.0,1016.6,180.0,0.0,0,0.0,2015,1,12,20,137.4685714285714
285,-6.6,-3.7,1033.1,70.0,2.0,0,0.0,2015,1,12,21,145.60285714285718
286,-10.0,-6.0,1016.6,350.0,2.0,0,0.0,2015,1,12,22,155.53714285714284
287,-11.0,-6.0,1016.6,10.0,1.0,0,0.0,2015,1,12,23,152.4428571428571
288,-6.3,-4.0,1033.7,40.0,1.0,0,7.0,2015,1,13,0,152.85714285714286
289,-10.0,-5.0,1016.6,10.0,2.0,0,0.0,2015,1,13,1,154.94571428571433
290,-8.0,-2.0,1016.6,180.0,1.0,0,0.0,2015,1,13,2,157.11428571428573
291,-6.3,-0.3,1033.6,360.0,2.0,0,1.0,2015,1,13,3,150.20857142857145
292,-6.0,1.0,1016.6,180.0,2.0,0,0.0,2015,1,13,4,152.79428571428568
293,-7.0,1.0,1016.6,70.0,2.0,0,0.0,2015,1,13,5,150.1971428571428
